spot,A,B,C,D,E,F,G,H,I,J
-0.47965581400794766x-1.8300285504278102x2,0.48549402,0.6210424,0.7321104,0.500637,1.1486443,8.9401245,0.80539525,3.6523402,1.5903519,1.3856725
0.6203582983435125x-0.6958351193495473x2,0.6385199,0.92357105,2.140829,0.58524287,1.4102226,3.0820644,1.9292866,2.2110703,1.5649484,1.3221624
0.698457149107336x0.24676602397997058x2,1.3213912,2.3515558,5.548571,1.2743472,4.018178,5.394399,3.9535465,3.691511,2.9306786,2.9251053
0.00377088908626934x1.5259575608848084x2,2.561098,4.8726997,3.966763,2.9671345,7.7391686,10.808712,8.237614,6.786705,4.5984583,2.9721081
0.9318483741143037x-0.7727718829782021x2,0.7429786,0.82118225,2.0015342,0.5691384,1.388933,3.318574,1.9561176,2.7785494,1.5529387,1.3522519
0.339964983801262x0.8820565993630106x2,1.6712055,3.4056468,4.8816714,1.5778025,4.4705963,6.3927903,9.851129,5.169587,3.1783967,2.9474888
-0.01568211160255477x-1.252593341503319x2,0.49167615,0.5568073,0.8694398,0.4424746,0.8588692,2.0561671,1.2358587,1.7113435,1.0416826,0.8329817
0.16092816829822298x-0.5863200252111324x2,0.5572893,0.78331345,1.9101298,0.65687656,1.2710394,4.0006404,1.5465308,2.0678065,1.5835557,1.1586531
-0.19065349358139935x-0.45764059428952597x2,0.8309055,1.2457826,1.8756915,0.81107193,1.9583697,4.005568,2.9458885,3.200995,2.4323304,1.8313595
-0.3948495140334503x0.3718110814974935x2,1.569264,2.6440856,2.7057917,1.3083297,5.3060775,7.0481625,5.5839868,5.2085743,5.45332,3.8753626
-0.26773353689396645x0.45730964672081126x2,1.6013007,2.4973698,2.5740118,1.2340146,4.05438,7.169222,5.930834,4.8937755,5.4940157,2.6232917
-1.1280113314700069x0.9623417448143452x2,1.5157167,2.1051073,2.2345114,1.4114428,3.8121307,4.9691668,3.762316,4.393377,4.173103,3.9889958
0.280441705316296x0.7708369604049367x2,1.3374132,2.1804743,3.628652,1.2141564,2.9914536,4.773524,4.8116007,3.6232862,3.0850687,2.1286042
-0.9931236109295807x0.24316821540249173x2,1.9935951,2.7478037,3.7314227,1.5745679,6.6891317,9.461846,5.103112,7.246637,7.3428383,6.645208
0.8416312640736364x0.3903649435086224x2,1.5067347,2.0242405,4.362885,1.2929586,3.910185,6.972812,4.911777,4.847246,3.5662076,3.0896719
-0.24945858016094885x1.5885306910975325x2,3.7389324,7.396641,5.207279,3.8450189,9.735653,12.681783,12.774498,8.410715,8.33207,3.8027275
0.04949498165009074x-0.5109261812322631x2,0.591568,1.0367821,1.8144568,0.6891336,1.5144972,3.7495806,2.2136877,2.2608023,1.6450013,1.2639802
0.49383677628095635x0.7747283190671621x2,1.7300106,3.7840137,5.742696,2.2512357,4.58611,8.271869,8.536908,5.449206,4.2409587,3.3245747
0.6433144650629279x-1.8081439264982515x2,0.3294635,0.5527962,1.0116872,0.39702785,0.67569214,1.6307831,0.83229655,1.0326834,0.65521944,0.71474904
-1.5706234086334527x0.4113342428976086x2,2.0171509,2.7551203,4.4390407,1.7683659,5.5167933,9.053331,6.090961,7.0493298,7.252542,7.1643095
-0.20690367616397173x-0.4832495424791074x2,0.7884519,1.2260681,1.9411604,0.8213421,1.9320929,4.304286,2.835152,3.0800102,2.405853,1.7611026
0.8801789120807822x0.002571182431510025x2,0.8648481,1.2384055,3.5591867,0.95703703,2.395629,3.9630318,4.18983,3.0906541,2.1024404,2.1933599
-1.6981058194322545x1.0400862450537032x2,2.290089,3.2750392,3.4959226,2.3182063,6.0905294,6.625176,6.2087665,6.9195776,6.004377,6.4584293
0.3872804753950634x0.16464380952639762x2,1.4814904,2.157131,4.1570177,1.364211,3.7695348,5.496418,5.763949,4.502729,3.3180187,3.1217628
-2.2555642294021894x0.8851875412089273x2,2.37155,2.9465091,3.0080264,2.2022724,4.9896145,7.2057843,5.770744,7.786083,5.3935924,7.174439
-1.0225068436356035x1.4737648151384048x2,3.750239,4.3569345,4.5690904,3.0017445,9.700404,10.798257,7.4966874,9.569543,10.138378,6.6241326
0.0386305518401881x0.38909396886572056x2,1.3689708,2.482551,3.0155337,1.282701,4.105692,7.03869,5.031321,4.6176896,3.7526577,2.6957543
-1.6567151023219537x1.1710410646204883x2,2.4918098,3.5428865,3.90844,2.508967,6.819035,7.094247,6.373187,7.1886334,6.9591546,5.8424673
-0.9855107376841507x-0.3265609776792077x2,1.0778067,1.1779764,2.3379376,0.8419792,2.5454116,7.5740795,3.231646,5.3373117,3.1071057,2.7456133
-1.4718350074635869x-0.008209882269614045x2,1.1549774,1.8264549,3.4793553,1.42144,3.316617,4.560323,5.023174,4.4222956,3.5347366,5.847885
1.6481349322075596x-0.522619416398478x2,0.9201769,1.3987774,4.0226054,1.0859977,2.2558484,5.395126,3.8930256,3.7204595,2.8331237,2.8165913
0.16422775548733395x1.042977594646376x2,1.5776272,2.439997,2.7299316,1.4685404,3.2019923,4.8033996,4.1657267,3.744339,3.3451815,2.0259452
0.5672902778526694x0.4140913537935951x2,1.6721419,2.6725435,5.240127,1.4150171,3.9421642,9.0439825,6.554872,5.4961014,4.7645197,3.3772645
-0.2226751005151545x-0.5072344618949226x2,0.7393799,1.2051458,2.0070343,0.8278163,1.8887268,4.6064305,2.7396874,2.954585,2.3491442,1.7025921
-0.35343174875719907x0.1546688336463322x2,1.1055863,1.7670016,2.6674628,1.0580006,4.0929894,5.3798947,3.2515588,3.6185942,3.4461384,3.030294
-1.6164741886510325x1.0415683888185818x2,2.14047,3.1984959,3.5576797,2.244098,6.141249,6.700792,6.2509694,6.5550222,5.8076425,6.3231974
-0.2918373627478628x-0.039267991037953184x2,0.7175118,1.4669199,1.9546589,0.82712203,2.2705352,3.0937088,3.1040192,2.3791835,2.2829509,1.8483344
-0.7614922118116233x-0.9489328108497634x2,0.71129864,0.6843059,1.0547705,0.5844747,1.2693604,2.0800772,1.4244272,1.8632662,1.8557808,1.4184381
0.8579239242923363x0.1319117557874122x2,1.1867614,1.6932977,5.7521167,1.2842356,4.0089183,6.529692,4.3282866,4.200081,2.920597,3.2148075
1.1411018666575734x-1.9805655910689397x2,0.41364112,0.51678103,1.2090459,0.42151108,0.7465731,1.5069516,0.9242571,1.0022167,0.5953662,0.87292415
1.4665787155741776x0.768770644399475x2,1.9970936,4.8984265,8.253957,2.821134,6.79903,10.098603,11.101558,6.630239,6.661435,5.116188
0.852551939461232x-0.4213275873246805x2,0.92087704,1.2538674,3.4147673,0.84139854,1.8510226,4.7532153,3.61104,3.5926147,2.1751194,1.799973
-0.5986539369229861x-0.46931073627910674x2,0.77189505,1.0205282,1.6002215,0.6780463,1.7369438,3.5253394,2.2181902,2.9719484,2.2445428,2.265136
-1.1158969859603944x0.8756956787795067x2,1.5093994,2.0496202,2.2717137,1.3789141,3.6799412,4.8127055,3.6976678,4.3183103,3.7708018,3.808365
0.7666631816450861x-1.3651628772251687x2,0.50971615,0.5826111,1.4061352,0.5490791,1.0069302,2.1767266,1.1390717,1.5041174,1.0433486,0.80883867
0.3562928174722889x1.9470986428203578x2,3.2624679,5.0896816,8.978367,3.1219585,8.005145,9.968505,13.924796,8.546413,5.553657,4.2226796
-1.7685384506770307x-0.4802420417382233x2,1.0174345,1.2858231,2.497047,0.9688302,2.1912575,4.6185045,3.0199313,3.9421015,2.867397,3.057298
0.35548179274376907x-0.5232509433848951x2,0.79038525,1.0997796,2.6070786,0.79556406,1.6016365,3.6577375,3.056816,2.611296,1.7387278,1.5419554
0.8145198224878664x1.021224743167163x2,1.5141581,2.371474,3.6735268,1.509528,3.8869295,4.7621527,5.372001,3.7270415,2.778021,2.406835
0.05892558918162996x0.7086952731104266x2,1.2411858,2.680129,3.8013694,1.6964842,4.501733,6.816827,5.231424,3.9139524,3.3704183,2.5055413
-0.18505367100934153x2.451229719075076x2,3.0681593,5.384755,5.213525,3.0551102,8.627383,10.101921,10.163675,8.455858,6.4439044,5.8390017
-0.8076484876163557x-0.21120598363152x2,0.8287028,1.0525692,1.8033704,0.6749756,1.7257514,3.1588132,2.3903823,3.2131855,1.85135,2.2991347
-1.4465346995633879x-0.12040663866440973x2,0.95014787,1.7051227,4.500024,1.1579252,3.4731808,5.2945194,4.068072,3.7110405,2.8378036,4.911988
0.8002979493400275x-1.4793159799632536x2,0.48864296,0.5402333,1.3552153,0.547274,0.9793822,2.0890021,1.0745617,1.4355531,0.9718545,0.7863929
-0.3091144447717088x-0.33210227734882514x2,0.8598716,1.1877965,2.0706134,0.7545504,2.3032176,5.587724,3.0334308,3.6067588,2.6258245,1.768675
-0.23346666154369272x-0.7214312955717558x2,0.75712544,1.1292615,1.5228024,0.71121556,1.686167,4.084992,2.2165904,2.8718016,2.4003441,1.4874029
1.7327211869191332x-0.44876701310549916x2,1.0956162,1.6871995,3.9616106,1.2145804,2.3991325,5.13204,4.847957,4.1363173,2.9907577,2.5241764
0.6845011068591904x-1.7441877565539552x2,0.3266599,0.52143914,1.0427266,0.38289896,0.66949207,1.3672489,0.80300987,0.8947972,0.61599845,0.672092
0.3708250012811021x1.660607559894514x2,3.8945575,6.1982594,9.816246,3.6744986,9.5588455,11.339955,16.59742,8.867308,6.317578,4.2659955
0.14206180518723566x-1.4166034824256406x2,0.46160555,0.46455058,1.0805874,0.4542377,0.81275964,2.2656288,0.85075605,1.5454259,1.1720899,0.6752336
1.5199948607657727x-2.802202798391713x2,0.48473096,0.7859078,1.424368,0.61711186,0.924384,1.8210192,1.308762,1.309622,0.92320144,1.112579
1.7195893074161945x-1.1884244215830193x2,0.68891674,0.83699894,1.6259043,0.7481904,1.3391148,2.6157403,1.8714454,2.127831,1.8481947,1.4360552
0.9295051114795281x-0.603839552796151x2,0.77034426,0.92236483,3.8941853,0.791675,1.8475919,5.2394395,2.588295,3.1848009,1.9222541,2.4498298
0.5822245913979243x-1.1495540632571182x2,0.54737407,0.6494346,1.178048,0.50584096,0.9483928,2.4069057,1.3072015,1.6803864,1.2756708,0.9406698
-2.0946030712061448x1.0983035407325124x2,3.0605986,3.8594537,3.5168953,2.7588327,6.5021534,6.0939465,6.2267847,8.411696,7.5349355,6.6104155
0.12372191423350658x-0.13783917859609385x2,0.5534424,1.1790379,2.7955303,0.62161833,1.5058056,2.6520262,1.9271448,2.026996,1.4525094,1.6190025
-0.130106954193704x0.025385604406458987x2,0.9900573,1.4049265,1.9935573,0.8907996,2.4954166,3.0866787,3.3984325,3.294708,2.3962688,4.125186
0.09395322938556872x0.6103917643054128x2,1.0074822,1.8077469,2.8403544,1.173796,3.0708408,4.0392,3.3854268,2.839039,2.6959994,1.9920777
0.9430460873225178x0.28601252697811796x2,1.3173287,1.8321178,4.244259,1.2727666,3.8783467,5.6389585,4.3287387,4.2347302,2.7748504,3.312731
-2.7396771671895563x0.978567297446043x2,2.6240776,3.2396379,3.0903478,2.4001617,5.4063997,6.718375,5.8984365,8.098576,6.012594,7.1680593
-0.5693120534701851x-1.1094775536361452x2,0.6117834,0.64936227,0.8411784,0.51218927,1.0860044,2.92081,1.2749807,2.2467155,1.8272496,1.4355818
0.26990435494076137x-0.5475181006794317x2,0.62145966,0.87458855,2.2822685,0.5577659,1.2876548,4.03741,2.3301878,2.7341843,1.6695254,1.5327016
-0.4668455460527625x0.6659671460695378x2,1.4321337,2.4940813,2.5273733,1.7893167,5.571841,4.9944944,4.763845,3.929644,4.312115,4.8181515
-1.4169061131262595x-2.53455446208423x2,0.5096213,0.67076415,1.1034834,0.5880362,1.1664039,5.339336,0.9395761,2.7972493,1.4463794,1.5400581
0.8689634868967954x-1.3751844793172407x2,0.56432134,0.57464135,1.477091,0.6018867,1.1263678,2.6321592,1.344707,1.8217273,1.230441,0.90748656
0.27687190584612803x0.5009922321799466x2,1.3551735,2.058945,3.2325497,0.90234697,3.219702,5.5807233,6.0385857,4.659939,4.1215096,2.2283702
-0.9711045704444846x-0.48024903499492544x2,1.1229308,1.37766,2.2657654,0.924408,2.5724974,6.812848,3.13366,4.6637,3.5274782,2.9242373
0.3148172045158238x0.9361075501096976x2,1.6187207,3.073264,4.1341763,1.3647796,4.1004386,5.7090416,8.192789,4.799602,3.0355957,2.6922998
0.8215857120497958x0.8091802968531627x2,1.5278176,2.4843624,4.648164,1.6930532,4.2015824,6.1207285,5.5205956,4.2998543,2.9531746,2.7846527
0.005292646299360854x-1.1980928801910382x2,0.48694104,0.5543006,0.85212314,0.43750513,0.813499,1.8947822,1.246985,1.6459802,0.986054,0.76207423
0.8005648034309968x0.4066570874668812x2,1.5780481,2.1730325,4.6767607,1.306905,3.943877,7.350428,5.1549673,4.887854,3.7219155,3.0695052
0.07826017516166135x1.2016978556675064x2,1.8179665,3.1883318,3.2141042,1.9205556,4.7290416,6.3320065,5.42891,4.430172,4.0376554,2.3055735
-0.39522898265435435x0.1474344016509719x2,1.1146196,1.7309736,2.640431,1.0945109,4.153327,5.444479,3.1627448,3.682216,3.5073118,3.432438
-1.159420516399913x-0.9774648772458692x2,0.61330134,0.6369243,1.148342,0.49489552,1.5610222,2.8950605,1.2003204,1.7827452,2.204007,1.4786568
-0.08593076697161273x0.87938994191337x2,1.3647664,2.7570033,2.29425,1.4134296,4.295634,5.0501432,5.035536,4.3063407,2.6407704,4.2109547
0.19429293804577166x0.6354245265539955x2,1.2073886,1.9284084,3.3482475,1.1849915,3.1441898,4.438836,4.128549,3.434305,3.2059708,2.087915
0.8758327615873309x0.5426107834987963x2,1.3368078,2.1648676,4.9821386,1.3803042,5.0117316,6.3161583,6.0434556,4.833394,3.3555157,3.1108801
-0.11510746848722672x0.7159388934369917x2,1.2088059,2.1541562,2.574488,1.3210853,4.324382,4.374378,4.127776,3.4799953,3.0060937,4.0078816
0.4574156062209908x-2.994612860227619x2,0.40712819,0.6478337,0.9740164,0.49225956,0.79291797,2.6724668,0.96509564,1.6390544,0.8514755,0.79040813
-0.9646120137337284x0.8809375610809715x2,1.8728895,2.8627965,2.5169923,1.5978998,4.85778,6.2323666,5.2682734,5.702343,4.5490446,4.422159
-0.7826291558275251x1.8081318105789754x2,3.084398,3.9159958,4.664629,2.9613664,7.304335,6.2044444,7.5617733,9.235537,6.923163,6.8703556
-0.11038929902688775x0.436638474629293x2,1.2836595,1.8443367,2.098231,0.9797759,3.6079144,5.159689,4.319895,4.2029243,3.8165343,3.9674299
-1.0546284639850139x0.19272899649972683x2,1.975823,2.7400036,4.685366,1.6196121,7.1010094,11.49575,5.0829935,7.509865,7.937391,7.418716
0.8202478373246812x0.6964386733914393x2,1.4755882,2.483226,5.2564483,1.7622428,4.6128182,6.44305,5.2523336,4.2274833,3.348122,2.8765244
0.4631303293186071x0.3382254736851153x2,1.6030496,2.7136803,4.2745867,1.497088,3.9387422,6.774907,5.996592,5.478148,4.2163396,3.5918372
0.2790957643924534x0.651781261700616x2,1.3097224,2.1417964,3.6163356,1.0974226,3.3224216,4.8433175,5.3652234,4.06369,3.5586889,2.1903324
0.33890412521594454x0.0014710002454108063x2,0.82155395,1.3391187,2.7107792,0.8301104,1.9164188,3.1707227,4.574196,2.8447385,1.876316,2.0632634
2.0210435614847975x-0.7667048545369003x2,1.1226219,1.2972682,2.4206119,0.9687021,2.1396835,4.362296,2.521844,3.9041345,3.2924774,2.5832336
-0.46886418796679563x-1.0043227122146134x2,0.6553343,0.83547395,1.0204345,0.694296,1.5230305,2.9577868,1.473411,1.9431765,1.9345069,1.70584
-2.201441285500558x-0.9981917282318641x2,1.0354735,0.9742286,1.1292994,0.75523585,1.5432312,3.2655468,1.8511137,2.5053856,3.09945,1.8312665
0.1993001968964652x-1.3730425509508952x2,0.42326155,0.46631092,0.93171316,0.38683093,0.71983963,2.1995602,0.8886682,1.4777298,1.1201205,0.65347284
-0.050603540961665895x-1.0677420110191065x2,0.5359078,0.64320195,0.82914346,0.4646662,1.0007459,2.1241274,1.3483948,1.7446824,1.3568475,1.005852
-0.5175190425104033x1.761266127419863x2,2.9148605,4.47534,3.6309328,3.2137144,8.474343,8.128439,7.2148943,7.059565,6.0865116,7.1909122
-0.9788298593587699x0.7540956636562427x2,1.8167387,2.7940032,3.3805728,1.8604431,5.6027946,7.1379766,5.438597,5.6635723,5.2877297,4.2503457
-0.43918952180214793x-0.6250273906846713x2,0.56087935,0.8031758,1.2104944,0.6073157,1.4351008,4.0501146,1.4695579,2.2308521,1.879026,1.7574002
0.18133842921782128x-0.3903926939855081x2,0.7433921,1.015571,2.087451,0.6263189,1.3290519,3.5705283,2.510196,2.7642975,1.9083844,1.1999302
-0.5028167006425383x0.11255753090645429x2,1.1751153,1.5691072,2.3723004,1.236523,3.6214538,4.6387653,3.0929446,3.6165016,3.2955043,4.864329
2.4124536795437486x-0.6555450294843581x2,0.937058,1.1606216,2.6175795,0.98504627,2.1124096,4.2288556,2.3977833,3.350405,2.7213318,2.5193026
-0.960504381633148x0.06751685717432486x2,1.2255027,1.4888794,2.7604806,1.183487,3.3221877,5.3234754,3.4852753,4.616137,3.4816751,3.9550068
-0.7931173627076716x0.777604137902912x2,1.4264596,1.8760756,2.2502446,1.3971896,3.528145,3.5985816,3.808395,3.967812,3.1079593,3.44959
-2.2886200400145285x-0.035742733548173485x2,1.214614,1.631347,2.1669745,1.207431,2.5854897,4.2247243,3.9918401,4.4270697,3.0613782,4.0588307
0.251484415021537x0.33601574266199213x2,1.3215836,2.1510699,2.9435532,0.9367263,3.0898144,4.872688,4.417309,4.2318134,3.4471347,2.2675326
-2.01640662779976x0.8864915393596159x2,2.3729312,2.9454672,3.000857,2.2028284,4.9830737,7.2001295,5.7681813,7.79311,5.387706,7.1905303
-0.5394546333745014x-0.2721317560182082x2,0.7738141,1.0084091,1.9373499,0.7518638,2.4293516,4.7917285,2.6118608,3.2140212,2.3246653,2.5909986
-0.27567053456055696x0.28479059913436316x2,1.3325193,2.6246214,2.5734506,1.3837726,4.633725,5.696479,4.7332597,4.4397635,3.930116,3.0601351
-0.7097279658468882x-0.30937759288336136x2,0.809375,0.8550465,1.5309881,0.6273339,1.6316217,3.4137537,2.2859912,3.2972383,2.028456,2.1764023
1.738872677454511x-0.0285288698344164x2,0.99913293,2.112191,3.5111928,1.3426156,2.9386811,3.9135969,5.517347,3.7842648,3.191674,3.5186646
0.9943943913154989x-0.32473026508296x2,1.2267846,1.2870071,4.848821,0.95137244,2.4627087,7.8666415,4.866597,5.7170973,2.4549768,2.5893805
1.3191368763015756x-0.5288698535561153x2,0.9044036,1.375564,4.9204907,1.0084331,2.150684,6.134044,4.298479,3.8705719,2.799145,3.1073685
-0.8824188185499185x0.17371185298702344x2,1.7575103,2.1968002,3.317078,1.4359242,5.111112,7.208996,4.5033884,5.386905,5.6747227,5.1449866
1.1285940645145685x0.5665453158182124x2,1.6856953,2.578467,6.9995203,1.6630622,6.236524,6.988921,7.855078,6.2032356,4.5061226,4.642569
0.4960009463439622x0.14630444600104425x2,1.4122242,2.5229645,7.5654693,1.504101,4.2829647,9.436693,7.032896,6.57938,4.407157,4.4031034
0.7714059486768455x0.498726958311932x2,1.4349014,2.250569,4.937264,1.3155906,4.2973547,6.4718266,5.366447,4.488659,3.5157752,2.839635
1.0294388287827672x-0.7379317802412299x2,0.80513686,0.8471165,2.4472733,0.5606402,1.2987899,4.205616,2.2166362,3.4862835,1.4950116,1.5182589
-0.9087632459590531x-1.2037351921997794x2,0.7104266,0.6060058,0.9620369,0.50226295,1.191021,3.488758,1.1535122,2.6481311,1.9525245,1.2881825
-0.4243176209779015x0.41704350296760356x2,1.6079983,2.500324,2.6339345,1.3045362,4.856896,7.728052,5.8097067,5.085157,5.8796415,3.938875
0.8625960113284511x0.6878813911747546x2,1.4563,2.3200643,4.783411,1.7253598,4.6329,6.2988787,5.2481256,4.2449694,3.2949219,2.8299625
-2.655619092974933x0.04985726659982265x2,1.5238856,1.8562716,2.975676,1.3722923,3.4296646,4.516354,3.7774127,5.450919,4.183021,5.6119757
1.5133280825732052x1.3480357804247187x2,3.2505434,6.7706165,9.537317,3.9947202,8.77351,10.801766,13.692208,8.095572,8.224384,5.177025
0.553132064207584x0.9076987979878987x2,1.7731658,3.4441423,4.2235627,1.8300719,4.20372,6.936651,9.455395,5.5409756,3.0453997,3.6089463
-0.045703960660234855x2.6805708407690005x2,2.437909,4.349712,4.2390895,2.5264282,7.28655,9.523617,8.328275,7.367423,4.879948,5.127524
0.2205076557571733x-0.20080851399566557x2,0.65628654,1.1861401,2.466156,0.591701,1.5807838,3.358295,2.116866,2.5259452,1.5588428,1.5829085
-1.0299352833089765x-0.9988487960953681x2,0.74952054,0.69564086,1.0732156,0.5416539,1.5948439,3.2851987,1.2640173,2.1922956,2.4557004,1.4689764
-0.34994336458910474x-0.7401367907395136x2,0.76555306,1.097629,1.3520529,0.62822294,1.6913618,4.0922723,1.9356223,3.188382,2.531054,1.6304898
1.1002843382203737x-0.5654978063746563x2,0.83172715,0.9784233,4.3779387,0.8157367,1.7312725,5.1960325,2.9170787,3.2880635,2.0238035,2.965256
1.2980219723262212x0.4760313834381145x2,1.7275177,3.2142043,8.1992655,1.7694005,5.453637,11.818458,10.303134,6.869546,6.6564884,5.0462065
2.6962240525635797x-2.158068563961257x2,0.54804856,0.6929434,1.161474,0.73334014,1.0382917,1.5329818,0.981696,1.4914033,0.84236807,1.1676438
-0.07392466628041514x1.3185510180908366x2,1.9433094,3.320334,3.3099327,2.046223,6.355722,6.657604,5.5362506,4.940098,4.042568,3.6944299
-0.6585529668050037x-0.23929659114234414x2,0.77870435,1.0130771,1.705606,0.6547723,1.9089833,3.0192873,2.2252948,2.9429846,1.9615337,2.487548
-0.5142339659399888x-0.24679355778875178x2,0.7984965,1.1348393,2.1779895,0.79477876,2.7356286,5.1053443,2.7149894,3.3179746,2.4277828,2.8772206
-1.0180418752873648x-1.0793431660249952x2,0.74779975,0.6410017,1.0276201,0.5054554,1.3765426,3.905465,1.2282697,2.6633615,2.4212937,1.3798175
-0.07785475594085076x-0.11422555145018021x2,0.73623973,1.4743011,2.2735765,0.7375853,2.5380936,3.220134,2.9262297,2.7393434,1.8077039,2.916789
0.38273243001226814x0.013239767667533552x3,0.9259252,1.1669701,2.4984207,0.89291424,2.4207013,2.0626466,3.7111523,2.1426961,1.416675,1.0722458
-0.03424228053195387x-0.12194492760027727x3,0.6448361,1.1966547,1.6923811,0.58237475,2.148271,2.528361,2.9128888,2.2385423,1.4000554,1.5682234
1.0963468456657985x0.3390592559424304x3,2.254432,2.4420002,4.2695017,1.5006505,4.6760955,6.717454,7.1588993,5.257341,3.3750029,3.0054896
-0.23421580134453654x-0.5896320419510298x3,0.56530386,0.7898362,1.3459684,0.47246101,1.2683766,2.6300495,1.6707247,1.5041113,1.4038793,1.1997372
-0.3474506524985633x-0.8958157604108271x3,0.62062097,0.9172056,1.0476454,0.5091209,1.679969,2.3085878,1.4467528,1.3191789,2.3603778,0.9398549
-0.5812684768603252x0.5483281304979799x3,1.1571821,1.9983176,2.1215065,1.200938,4.351727,3.4631486,3.948331,3.5166476,3.6206899,4.1280746
-1.6326345262344952x0.09866745381579567x3,1.3692312,1.7152174,2.9917495,1.3711977,4.1228695,4.1180205,3.8425567,3.8153594,3.032975,3.8071725
-1.567767724308454x0.1971810551973674x3,1.5794603,2.2185295,3.593402,1.7475071,6.0569634,6.6690702,5.43694,4.368656,4.0421324,5.6584826
-1.1791579306376878x1.0590272544419663x3,1.9155651,2.9313977,2.8901062,1.9819821,5.2583866,4.837151,5.7363396,4.154483,4.677151,3.204978
1.3014280716647608x-1.0225643912606857x3,0.8118413,1.0679896,1.6814563,0.76185614,1.7121,2.5470357,2.615315,1.889271,2.2761915,1.380686
0.8952602728899299x-0.8552404572508642x3,0.73710006,0.8352621,1.5085651,0.6660921,1.7358651,2.2057657,2.1328259,1.5951501,1.5880268,1.0235698
1.3749640663929898x1.2572196508289941x3,3.9113483,6.524998,7.4766893,3.859041,10.461574,9.677983,13.5281,7.558607,8.010754,3.7846982
-1.3322116545945017x-1.4828833575740425x3,0.64538753,0.62722534,1.1867521,0.68604016,1.1999869,2.4813755,1.6969732,1.6056628,1.354211,1.5867198
-1.9686246897860202x-1.3094121463310142x3,0.68190736,0.8278596,0.8934213,0.62432474,1.199406,2.406624,1.9256464,1.984656,1.5748647,1.2393423
-0.6600563201340829x0.8178618311849958x3,1.669309,2.0740688,1.8467042,1.474768,5.540005,3.3238518,4.0143313,3.60958,3.1075878,4.623908
0.175818953296028x0.23820019202203863x3,1.4019922,1.8997086,2.7345588,1.1661732,3.9113054,4.2899184,4.0846233,3.3020544,2.7641866,1.7392732
0.4986902749098275x0.10523213705927585x3,1.2377875,1.721127,4.060688,1.2229786,3.6221662,3.8127897,4.3816223,3.3850613,1.9441061,1.8004612
1.0479721559680528x-0.09165940810038319x3,1.2036477,1.7344882,4.298903,0.9799212,3.1064353,4.5323987,5.5213995,3.9449341,2.3659916,2.5211415
0.2842796708072146x0.03126754702756948x3,0.97288054,1.4671438,2.8485174,0.699669,2.5931103,3.3795903,3.6479661,2.5692017,1.546654,1.2354398
1.7426687806556311x-0.09211211469195592x3,1.050647,2.027063,3.9585185,1.1518657,3.5899289,3.8777497,4.8469434,3.6505861,2.950194,2.7188578
-0.22260568094832048x1.3554427025944182x3,2.6167746,4.4665923,3.3586192,1.9887527,6.5402584,5.428064,6.727977,4.2572865,5.206324,2.1558046
-0.9130792180417964x-0.3981481287500751x3,1.0265177,1.3112783,1.7840468,0.8572077,1.9376378,3.8860557,3.2289677,3.3008113,2.1753488,1.7810894
-1.6812182154944335x-0.16137353627777917x3,1.0052214,1.5734073,2.9291253,0.91355723,3.0587807,3.7224543,3.6225832,3.6050377,2.2756932,3.3410208
-0.8889713580954499x1.7944488052250736x3,3.316032,4.573452,3.6880298,3.4312906,9.771959,7.3093014,7.525373,6.870252,6.379349,5.401851
0.242117960985123x0.0275097020298358x3,0.9444211,1.454974,2.737939,0.6921082,2.5002878,3.4559493,3.4748948,2.5517633,1.6135068,1.2331967
-0.8887202573536308x2.2320163895251777x3,3.338152,4.67996,3.7051783,3.5945187,10.10985,7.4007483,7.4510193,6.9537587,6.434009,5.6611547
0.9367424635352571x-0.10497970101895356x3,1.0531334,1.6835207,3.8423364,0.9255809,3.217645,4.213611,4.7426066,3.4297132,2.245145,2.3649735
1.412327706037443x1.3674149824601585x3,4.0536213,6.824462,8.089631,4.171026,11.37081,10.482015,13.480546,8.465712,8.459062,4.028875
-2.369586905226603x-1.6553440383096778x3,0.5617264,0.6207622,0.68681353,0.5618078,0.9348888,1.7655972,1.2466397,1.5473391,0.9674009,1.0614896
0.8640523004976479x0.15364446081566638x3,1.4230181,2.199372,4.1390133,1.598568,6.035614,6.139067,5.392803,3.9126277,2.8256066,2.958381
-2.2396040586617367x-1.5844735631509355x3,0.5668618,0.6366978,0.7326069,0.5642468,0.9754608,1.9220663,1.3796927,1.6377077,1.046061,1.0483
0.4014990550902875x0.8444543066045863x3,1.7722288,2.4810374,4.1373725,1.5291384,5.265536,3.4881384,7.2870784,3.1795702,2.5275705,1.6659999
1.2248705641936597x-1.2128678162090247x3,0.85176814,0.97452855,1.6375707,0.7577877,1.4490794,2.755885,2.747891,2.134925,1.8550327,1.4286548
0.06485610634357618x0.2837695543833455x3,1.3127776,1.742557,1.8802397,1.0823483,3.663572,3.9740007,3.8782694,3.3425343,2.265491,1.5971769
-1.2796891732042395x-0.2821958766904351x3,1.0990229,1.2593772,2.4469159,0.90143555,2.4344451,4.4654145,3.9471977,3.6294408,2.8354838,3.0149946
-0.5854312042777726x-1.1582031851840289x3,0.5524239,0.6458266,0.6561286,0.46122262,0.9784923,1.4080936,1.2798792,1.2709904,1.24043,1.1613692
